name,props_count,difficulty,tags,comment,max_throw,siteswap_x
"20c sync fountain -> 20c async fountain",4,12,"sync base pattern|async base pattern","Transition: (5x,4)",5
"20c cascade",5,16,"async base pattern",,5
"50c isolated cascade",5,27,"async base pattern|isolated",,5
"30c reverse cascade",5,38,"async base pattern",,5,reverse cascade
"ANY",6,27,"any base pattern",,6
"async fountain",6,30,"async base pattern",,6,async fountain
"20c async fountain",6,33,"async base pattern",,6,async fountain
"isolated sync fountain",6,39,"sync base pattern|isolated",,6,sync fountain
"sync fountain -> async fountain",6,37,"sync base pattern|async base pattern","transition: (7x,6)(7x,6)",7
"async fountain -> sync fountain",6,38,"async base pattern|sync base pattern","transition: 7x67x6",7
"ANY on the knees",6,33,"any base pattern|on the knees",,6
"7c cascade",7,30,"async base pattern",,7
"cascade",7,39,"async base pattern",,7
"7c cascade on the knees",7,37,"async base pattern|on the knees",,7
"isolated cascade",7,43,"async base pattern|isolated",,7
"8c sync fountain",8,52,"sync base pattern",,8,sync fountain
"8c async fountain",8,48,"async base pattern",,8,async fountain
"16c async ANY",8,74,"async base pattern",,8
"9c cascade",9,67,"async base pattern",,9
"cascade",9,88,"async base pattern",,9
"3up 360 -> cascade",3,12,"360 spin",,5
"5 X (1up 360) in a run",3,18,"360 spin",,5
"5 X (3up 360) in a run",3,26,"360 spin",,5
"75300 3up 360 -> cascade",3,16,"360 spin|async siteswap",,7
"cascade -> 74400 3up 360 -> cascade",3,24,"360 spin|async siteswap",,7
"3up 720 -> cascade",3,39,"720 spin",,7
"9440022 3up 2-stage -> cascade",3,34,"multi stage",,9
"441 -> 66300 3up 360 -> 441",3,25,"360 spin|async siteswap",,6
"cascade -> 3up 360 -> overheads",3,21,"360 spin|overheads",,5
"3up 360 -> backcrosses",3,25,"360 spin|backcrosses",,5
"backcrosses -> 3up 360 in backcrosses -> backcrosses",3,48,"360 spin|backcrosses",,5
"overheads -> 3up 360 in overheads -> 531",3,32,"360 spin|overheads|async siteswap",,5
"4up 360 -> async fountain",4,25,"360 spin",,6
"777300 4up 360 -> async fountain",4,34,"360 spin|async siteswap",,7
